Polish Title,Original Title,Rating,Votes,Genre
Mechaniczna pomarańcza,A Clockwork Orange1971,7.83,216352,typDramat/Sci-Fi
Żądło,The Sting1973,7.83,75778,typKomedia kryminalna
Bohemian Rhapsody,2018,7.82,219785,typBiograficzny/Dramat/Muzyczny
Pan od muzyki,Les choristes2004,7.82,107386,typDramat/Muzyczny
"Złap mnie, jeśli potrafisz",Catch Me If You Can2002,7.82,336031,typKomedia kryminalna
Wróg u bram,Enemy at the Gates2001,7.82,230330,typDramat/Wojenny
Labirynt,Prisoners2013,7.82,252813,typThriller
Klaus,2019,7.81,56024,typAnimacja/Komedia/Przygodowy/Świąteczny
Koneser,La migliore offerta2013,7.81,150898,typDramat
Jak wytresować smoka,How to Train Your Dragon2010,7.81,303337,typAnimacja/Familijny/Fantasy/Przygodowy
Requiem dla snu,Requiem for a Dream2000,7.81,675350,typDramat
Siedmiu samurajów,Shichinin no samurai1954,7.81,73210,typDramat
Ojciec,The Father2020,7.8,51879,typDramat
Żywot Briana,Life of Brian1979,7.8,183860,typKomedia
Księżniczka Mononoke,Mononoke-hime1997,7.8,85944,typFantasy/Przygodowy/Anime
Jak rozpętałem drugą wojnę światową,1969,7.8,276702,typKomedia/Przygodowy/Wojenny
Filadelfia,Philadelphia1993,7.8,286946,typDramat
"Obcy - 8. pasażer ""Nostromo""",Alien1979,7.8,286798,typHorror/Sci-Fi
Wszystko za życie,Into the Wild2007,7.8,263329,typBiograficzny/Dramat/Przygodowy
Przerwana lekcja muzyki,"Girl, Interrupted1999",7.8,246261,typBiograficzny/Dramat/Psychologiczny
Ruchomy zamek Hauru,Hauru no ugoku shiro2004,7.79,109713,typFantasy/Anime
Życie Carlita,Carlito's Way1993,7.79,97551,typGangsterski
Shrek,2001,7.78,829143,typAnimacja/Familijny/Komedia
Uśpieni,Sleepers1996,7.78,157528,typDramat/Thriller
Szósty zmysł,The Sixth Sense1999,7.78,627404,typThriller
Człowiek w ogniu,Man on Fire2004,7.78,189500,typDramat/Sensacyjny
Sami swoi,1967,7.78,261757,typKomedia obycz.
Skrzypek na dachu,Fiddler on the Roof1971,7.77,65978,typDramat/Musical
Top Gun: Maverick,2022,7.77,81104,typAkcja
Chłopaki nie płaczą,2000,7.77,428148,typKomedia/Sensacyjny
Taksówkarz,Taxi Driver1976,7.77,232518,typDramat
Gra,The Game1997,7.77,222647,typThriller
Lśnienie,The Shining1980,7.76,419414,typHorror
Prawo zemsty,Law Abiding Citizen2009,7.76,213292,typThriller
Lęk pierwotny,Primal Fear1996,7.76,141707,typDramat/Thriller
Sens życia wg Monty Pythona,The Meaning of Life1983,7.76,129577,typKomedia
Stowarzyszenie Umarłych Poetów,Dead Poets Society1989,7.75,310452,typDramat
Dzień świra,2002,7.75,617767,typDramat/Komedia/Psychologiczny
Pokój,Room2015,7.75,190099,typDramat
Tylko nie mów nikomu,2019,7.75,81308,typDokumentalny
"Pół żartem, pół serio",Some Like It Hot1959,7.75,101856,typKomedia
Ściana,Pink Floyd The Wall1982,7.75,52379,typDramat/Muzyczny/Animacja dla dorosłych
Pogorzelisko,Incendies2010,7.74,51839,typDramat/Wojenny
Przeminęło z wiatrem,Gone with the Wind1939,7.74,107251,typKostiumowy/Melodramat
Porachunki,"Lock, Stock and Two Smoking Barrels1998",7.74,109590,typKomedia kryminalna
Seksmisja,1983,7.73,656030,typKomedia/Sci-Fi
Przesłuchanie,1982,7.73,54581,typDramat/Polityczny
Za kilka dolarów więcej,Per qualche dollaro in più1965,7.73,52360,typWestern
Miś,1980,7.73,338097,typKomedia
Katedra,2002,7.73,171324,typAnimacja/Krótkometrażowy
Helikopter w ogniu,Black Hawk Down2001,7.73,312237,typDramat/Wojenny
Efekt motyla,The Butterfly Effect2004,7.73,505905,typThriller/Sci-Fi
Zaginiona dziewczyna,Gone Girl2014,7.73,320821,typThriller
Trainspotting,1996,7.72,231463,typDramat
Le Mans '66,Ford v Ferrari2019,7.72,75860,typBiograficzny/Dramat/Sportowy
Lektor,The Reader2008,7.72,203629,typMelodramat
Grobowiec świetlików,Hotaru no Haka1988,7.72,50474,typDramat/Anime
Blow,2001,7.72,224148,typBiograficzny/Dramat/Kryminał
Mandarynki,Mandariinid2013,7.72,47660,typDramat/Wojenny
Jak zostać królem,The King's Speech2010,7.72,323847,typBiograficzny/Dramat historyczny
Bez przebaczenia,Unforgiven1992,7.72,89739,typWestern
Piraci z Karaibów: Klątwa Czarnej Perły,Pirates of the Caribbean: The Curse of the Black Pearl2003,7.72,728905,typFantasy/Przygodowy
Wyścig,Rush2013,7.72,157305,typBiograficzny/Dramat/Sportowy
Za wszelką cenę,Million Dollar Baby2004,7.72,274263,typDramat
Piraci z Karaibów: Skrzynia umarlaka,Pirates of the Caribbean: Dead Man's Chest2006,7.72,422297,typFantasy/Przygodowy
Witaj w klubie,Dallas Buyers Club2013,7.71,180289,typBiograficzny/Dramat
Grand Budapest Hotel,The Grand Budapest Hotel2014,7.71,265257,typDramat/Komedia
American Gangster,2007,7.71,201028,typBiograficzny/Dramat/Kryminał
Iluzjonista,The Illusionist2006,7.71,290227,typFantasy/Kostiumowy
Co gryzie Gilberta Grape'a,What's Eating Gilbert Grape1993,7.71,300718,typDramat
Polowanie,Jagten2012,7.7,120031,typDramat obyczajowy
Twój Vincent,Loving Vincent2017,7.7,81170,typAnimacja/Dramat/Kryminał
Święci z Bostonu,The Boondock Saints1999,7.7,166547,typSensacyjny
Misja,The Mission1986,7.7,59657,typDramat/Kostiumowy
Kiler,1997,7.7,453019,typKomedia/Sensacyjny
Samsara,2011,7.69,36113,typDokumentalny
Róża,2011,7.69,137927,typDramat
Harry Potter i Insygnia Śmierci: Część II,Harry Potter and the Deathly Hallows: Part 22011,7.69,351707,typFamilijny/Fantasy/Przygodowy
Casablanca,1942,7.69,93799,typKryminał/Melodramat
Wilk z Wall Street,The Wolf of Wall Street2013,7.69,454759,typBiograficzny/Komedia kryminalna
Sherlock Holmes,2009,7.69,446167,typKryminał/Przygodowy
Kafarnaum,Cafarnaúm2018,7.68,30753,typDramat
Symetria,2003,7.68,249210,typDramat
David Attenborough: Życie na naszej planecie,David Attenborough: A Life On Our Planet2020,7.68,24394,typDokumentalny/Przyrodniczy
Gadające głowy,1980,7.68,44230,typDokumentalny/Krótkometrażowy
Oszukana,Changeling2008,7.68,188913,typDramat obyczajowy
Edward Nożycoręki,Edward Scissorhands1990,7.68,401927,typDramat/Fantasy
Krótki film o zabijaniu,1987,7.67,74655,typDramat/Psychologiczny
Wołyń,2016,7.67,157565,typDramat/Wojenny
Prawo Bronxu,A Bronx Tale1993,7.67,72428,typDramat/Gangsterski
Mroczny Rycerz powstaje,The Dark Knight Rises2012,7.67,308298,typAkcja/Sci-Fi
Absolwent,The Graduate1967,7.67,81898,typDramat obyczajowy
Wojownik,Warrior2011,7.67,96892,typDramat/Sportowy
W głowie się nie mieści,Inside Out2015,7.67,222962,typAnimacja/Komedia
Rocky,1976,7.66,197641,typDramat/Sportowy
W imię ojca,In the Name of the Father1993,7.66,50920,typBiograficzny/Dramat obyczajowy
Piraci z Karaibów: Na krańcu świata,Pirates of the Caribbean: At World's End2007,7.66,389903,typFantasy/Przygodowy
Poszukiwacze zaginionej Arki,Raiders of the Lost Ark1981,7.66,272470,typPrzygodowy
Śniadanie u Tiffany'ego,Breakfast at Tiffany's1961,7.66,155952,typMelodramat
Na noże,Knives Out2019,7.66,165736,typDramat/Komedia/Kryminał
Donnie Brasco,1997,7.66,136627,typBiograficzny/Gangsterski
Kimi no Na wa.,2016,7.66,27917,typFantasy/Melodramat/Anime
Thor: Ragnarok,2017,7.66,175851,typFantasy/Przygodowy
Ciekawy przypadek Benjamina Buttona,The Curious Case of Benjamin Button2008,7.65,507034,typFantasy/Melodramat
Imię róży,Der Name der Rose1986,7.65,174064,typKryminał
Sam,I Am Sam2001,7.65,87683,typDramat obyczajowy
Dług,1999,7.65,150672,typDramat/Psychologiczny
Pewnego razu na Dzikim Zachodzie,C'era una volta il West1968,7.65,48860,typWestern
Tańczący z wilkami,Dances with Wolves1990,7.65,115587,typWestern
Trener,Coach Carter2005,7.65,105588,typBiograficzny/Dramat/Sportowy
Sekrety morza,Song of the Sea2014,7.64,37282,typAnimacja/Familijny/Fantasy
Indiana Jones i ostatnia krucjata,Indiana Jones and the Last Crusade1989,7.64,248035,typPrzygodowy
Życie za życie,The Life of David Gale2003,7.64,107716,typDramat
Łowca androidów,Blade Runner1982,7.64,207311,typThriller/Sci-Fi
Dziewczyna z tatuażem,The Girl with the Dragon Tattoo2011,7.64,322230,typKryminał/Thriller
Donnie Darko,2001,7.63,207777,typDramat
Kapitan Phillips,Captain Phillips2013,7.63,215301,typBiograficzny/Dramat
Czarny łabędź,Black Swan2010,7.63,363251,typDramat/Psychologiczny
Wielki Mike. The Blind Side,The Blind Side2009,7.63,155401,typBiograficzny/Dramat/Sportowy
