Polish Title,Original Title,Rating,Votes,Genre
Deadpool 2,2018,7.48,172504,typKomedia/Akcja/Sci-Fi
300,2006,7.48,395436,typDramat historyczny
Jestem legendą,I Am Legend2007,7.48,480324,typHorror/Sci-Fi
Gnijąca panna młoda,Corpse Bride2005,7.48,229820,typAnimacja/Czarna komedia
Mustang z Dzikiej Doliny,Spirit: Stallion of the Cimarron2002,7.47,89824,typAnimacja/Familijny/Przygodowy
Spotlight,2015,7.47,170106,typDramat
Szklana pułapka,Die Hard1988,7.47,222586,typSensacyjny/Świąteczny
Bulwar Zachodzącego Słońca,Sunset Boulevard1950,7.47,21945,typDramat/Film-Noir
Harry Potter i Kamień Filozoficzny,Harry Potter and the Sorcerer's Stone2001,7.47,432175,typFamilijny/Fantasy/Przygodowy
Kraina lodu,Frozen2013,7.47,263739,typAnimacja/Familijny/Musical/Przygodowy
August Rush,2007,7.47,82568,typDramat/Muzyczny
Lion. Droga do domu,Lion2016,7.47,72394,typDramat
Ostatni Mohikanin,The Last of the Mohicans1992,7.47,98934,typDramat historyczny
Mały Książę,Le Petit Prince2015,7.47,88778,typAnimacja/Fantasy/Przygodowy
Harry Potter i Książę Półkrwi,Harry Potter and the Half-Blood Prince2009,7.46,314095,typFamilijny/Fantasy/Przygodowy
Dzień próby,Training Day2001,7.46,113853,typDramat/Kryminał
Urodzeni mordercy,Natural Born Killers1994,7.46,105956,typDramat/Thriller/Romans
Spider-Man: Bez drogi do domu,Spider-Man: No Way Home2021,7.46,82133,typAkcja/Sci-Fi
Morderstwo pierwszego stopnia,Murder in the First1995,7.46,29075,typDramat sądowy
Strażnicy Galaktyki vol. 2,Guardians of the Galaxy Vol. 22017,7.46,167832,typAkcja/Sci-Fi
Twardowsky,2015,7.46,57140,typSci-Fi/Krótkometrażowy
Przełamując fale,Breaking the Waves1996,7.46,46032,typDramat
Miasteczko Halloween,The Nightmare Before Christmas1993,7.46,77684,typAnimacja/Fantasy/Musical/Świąteczny
Za garść dolarów,Per un pugno di dollari1964,7.46,45445,typWestern
Persepolis,2007,7.46,40424,typDramat/Animacja dla dorosłych
Blues Brothers,The Blues Brothers1980,7.46,103885,typKomedia/Musical
The Maker,2011,7.46,33684,typAnimacja/Fantasy/Krótkometrażowy
Blade Runner 2049,2017,7.46,170569,typThriller/Sci-Fi
Lokator,Le locataire1976,7.45,36451,typThriller/Psychologiczny
Pora umierać,2007,7.45,33974,typDramat
Powrót,Vozvrashchenie2003,7.45,32727,typDramat
Między piekłem a niebem,What Dreams May Come1998,7.45,100753,typFantasy/Melodramat
Hooligans,2005,7.45,357660,typDramat
Zabójcza broń,Lethal Weapon1987,7.45,128760,typKomedia kryminalna
Sweeney Todd: Demoniczny golibroda z Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street2007,7.45,211553,typMusical/Thriller
Odlot,Up2009,7.45,256427,typAnimacja/Familijny/Komedia/Przygodowy
"Tam, gdzie rosną poziomki",Smultronstället1957,7.45,31604,typDramat
1900: Człowiek legenda,La leggenda del pianista sull'oceano1998,7.45,29408,typDramat/Muzyczny
Stalker,1979,7.45,32747,typSci-Fi/Dramat obyczajowy
Patriota,The Patriot2000,7.45,143611,typDramat historyczny
Charlie,The Perks of Being a Wallflower2012,7.45,142853,typMelodramat
Kolor purpury,The Color Purple1985,7.45,41141,typDramat obyczajowy
Madagaskar,Madagascar2005,7.45,397364,typAnimacja/Familijny
Zakochany kundel,Lady and the Tramp1955,7.44,119513,typAnimacja/Familijny/Romans/Muzyczny
Zabójczy numer,Lucky Number Slevin2006,7.44,83681,typKomedia kryminalna
"Millennium: Mężczyźni, którzy nienawidzą kobiet",Män som hatar kvinnor2009,7.44,83365,typKryminał/Thriller
"Poszukiwany, poszukiwana",1972,7.44,142681,typKomedia
Indiana Jones i Świątynia Zagłady,Indiana Jones and the Temple of Doom1984,7.44,160200,typPrzygodowy
Prawdziwa historia,The World's Fastest Indian2005,7.44,44241,typBiograficzny/Dramat
Wejście smoka,Enter the Dragon1973,7.44,91476,typAkcja/Sztuki walki
Wróg publiczny,Enemy of the State1998,7.44,111233,typSensacyjny
Las Vegas Parano,Fear and Loathing in Las Vegas1998,7.44,167363,typDramat/Surrealistyczny/Komedia
Herkules,Hercules1997,7.44,122927,typAnimacja/Familijny/Przygodowy
Cienka czerwona linia,The Thin Red Line1998,7.43,95538,typDramat/Wojenny
Potwory i spółka,"Monsters, Inc.2001",7.43,211970,typAnimacja/Familijny/Komedia
Casino Royale,2006,7.43,274768,typSensacyjny
Zabić drozda,To Kill a Mockingbird1962,7.43,32470,typDramat
"Vabank II, czyli riposta",1984,7.43,76187,typKomedia kryminalna
Mulholland Drive,Mulholland Dr.2001,7.43,95364,typDramat/Thriller
Popiół i diament,1958,7.43,42152,typDramat/Psychologiczny/Polityczny
Metropolis,1927,7.43,24261,typSci-Fi/Niemy
Wszystko o mojej matce,Todo sobre mi madre1999,7.43,70639,typDramat
Tato,1995,7.43,103396,typDramat obyczajowy
Trzy kolory: Biały,1994,7.43,46216,typDramat/Psychologiczny
Zło,Ondskan2003,7.42,50737,typDramat
Rejs,1970,7.42,129154,typKomedia
Co w duszy gra,Soul2020,7.42,37616,typAnimacja/Komedia/Przygodowy
Kanał,1956,7.42,37981,typDramat/Wojenny
Dracula,1992,7.42,145098,typHorror
Zniewolony. 12 Years a Slave,12 Years a Slave2013,7.42,150032,typBiograficzny/Dramat historyczny
Upiór w operze,The Phantom of the Opera2004,7.42,79198,typMelodramat/Musical
Byliśmy żołnierzami,We Were Soldiers2002,7.42,74921,typDramat/Wojenny
Avengers,The Avengers2012,7.42,324611,typAkcja/Sci-Fi
Wyspa psów,Isle of Dogs2018,7.42,43109,typAnimacja/Komedia/Przygodowy
Vincent,1982,7.42,42830,typAnimacja/Dramat/Krótkometrażowy
Dżentelmeni,The Gentlemen2019,7.42,72233,typKryminał/Akcja
Powrót do przyszłości II,Back to the Future Part II1989,7.42,181523,typKomedia/Przygodowy/Sci-Fi
12 prac Asteriksa,Les douze travaux d'Astérix1976,7.41,76787,typAnimacja/Familijny/Komedia/Przygodowy
Harry Potter i Zakon Feniksa,Harry Potter and the Order of the Phoenix2007,7.41,325576,typFamilijny/Fantasy/Przygodowy
Control,2007,7.41,43021,typBiograficzny/Dramat/Muzyczny
Porozmawiaj z nią,Hable con ella2002,7.41,64805,typDramat
Planeta skarbów,Treasure Planet2002,7.41,62633,typAnimacja/Familijny/Przygodowy/Sci-Fi
Jeden dzień,One Day2011,7.41,167795,typMelodramat
Egzorcysta,The Exorcist1973,7.41,128419,typHorror
Szkoła uczuć,A Walk to Remember2002,7.41,234421,typMelodramat/Dla młodzieży
Miasto aniołów,City of Angels1998,7.41,147388,typFantasy/Melodramat
Skazany na bluesa,2005,7.41,231777,typDramat/Muzyczny
Pokuta,Atonement2007,7.41,122659,typMelodramat
Świadek oskarżenia,Witness for the Prosecution1957,7.41,17742,typKryminał/Dramat sądowy
Ukryte działania,Hidden Figures2016,7.41,63884,typBiograficzny/Dramat
Plac Zbawiciela,2006,7.41,83629,typDramat
Powrót do przyszłości,Back to the Future1985,7.41,338926,typKomedia/Przygodowy/Sci-Fi
Strażnicy Galaktyki,Guardians of the Galaxy2014,7.4,246724,typAkcja/Sci-Fi
Skazaniec,Felon2008,7.4,80161,typDramat/Kryminał
Szybcy i wściekli,The Fast and the Furious2001,7.4,293056,typAkcja
Anastazja,Anastasia1997,7.4,89201,typAnimacja/Familijny/Musical/Przygodowy
Erin Brockovich,2000,7.4,86860,typDramat
Sound of Metal,2019,7.4,35464,typDramat/Romans
Idź i patrz,Idi i smotri1985,7.4,17851,typDramat/Wojenny
Who Am I. Możesz być kim chcesz,Who Am I - Kein System ist sicher2014,7.4,53933,typThriller
V jak Vendetta,V for Vendetta2005,7.4,295033,typThriller/Sci-Fi
Zanim się pojawiłeś,Me Before You2016,7.4,184398,typMelodramat
Kolekcjoner kości,The Bone Collector1999,7.4,184407,typKryminał/Thriller
Lepiej być nie może,As Good as It Gets1997,7.4,117271,typDramat/Komedia/Romans
Siedmiu wspaniałych,The Magnificent Seven1960,7.4,42957,typWestern
Prosta historia,The Straight Story1999,7.39,50552,typDramat obyczajowy
Dirty Dancing,1987,7.39,281875,typMelodramat/Muzyczny
Przed wschodem słońca,Before Sunrise1995,7.39,52125,typDramat/Romans
Czekolada,Chocolat2000,7.39,217029,typDramat/Komedia/Romans
Captain Fantastic,2016,7.39,79724,typDramat
Vaiana: Skarb oceanu,Moana2016,7.39,113517,typAnimacja/Familijny/Przygodowy
Bracia,Brothers2009,7.39,133853,typDramat
Ostatni król Szkocji,The Last King of Scotland2006,7.39,85419,typDramat
Obiecująca. Młoda. Kobieta.,Promising Young Woman2020,7.39,60643,typDramat/Kryminał
Pocahontas,1995,7.39,167824,typAnimacja/Romans
Motyl i skafander,Le scaphandre et le papillon2007,7.39,62257,typBiograficzny/Dramat
Ucieczka z Alcatraz,Escape from Alcatraz1979,7.39,77886,typDramat/Thriller
Co się wydarzyło w Madison County,The Bridges of Madison County1995,7.39,79636,typMelodramat
Pasja,The Passion of the Christ2004,7.38,236149,typDramat/Biblijny
Niech będzie teraz,Now Is Good2012,7.38,93678,typDramat obyczajowy
Truman Show,The Truman Show1998,7.38,508910,typDramat/Komedia/Sci-Fi
Shrek 2,2004,7.38,303970,typAnimacja/Familijny/Komedia
Przetrwać w Nowym Jorku,The Basketball Diaries1995,7.38,44002,typBiograficzny/Dramat
Miłość,Amour2012,7.38,47167,typMelodramat
Spacer po linie,Walk the Line2005,7.38,65124,typBiograficzny/Muzyczny
Sin City - Miasto grzechu,Sin City2005,7.38,267089,typKryminał
Straight Outta Compton,2015,7.38,57857,typBiograficzny/Muzyczny
Coś,The Thing1982,7.38,102102,typHorror/Sci-Fi
Siedem lat w Tybecie,Seven Years in Tibet1997,7.38,139757,typBiograficzny/Dramat
Kill Bill 2,Kill Bill: Vol. 22004,7.38,232657,typThriller/Akcja
Kapitan Ameryka: Wojna bohaterów,Captain America: Civil War2016,7.38,180312,typAkcja/Sci-Fi
Gwiazd naszych wina,The Fault in Our Stars2014,7.38,224774,typDramat/Romans
